society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore
"  vipul tatvam villa, sector 48, gurgaon",11.0,sector 48,,house,,,,,4.0,4.0,"  vipul tatvam villa, sector 48, gurgaon",2.0,east,moderatly old property,2,0,1,0,0,0,1,93
  emaar mgf emerald estate,1.9,sector 65,18627.45,flat,1020.0,1020.0,612.0,765.0,2.0,2.0,"Emaar MGF Emerald Estate Sector 65, Gurgaon",6.0,north-east,moderatly old property,,0,0,1,0,0,1,204
"  greenwood city, gurgaon",10.85,sector 45,,house,,,,,5.0,6.0,"  greenwood city, gurgaon",3.0,north-east,relatively new property,3,1,1,0,0,1,1,190
  pareena coban residences,1.95,sector 99,9764.65,flat,1997.0,1997.0,1298.05,1597.6000000000001,3.0,5.0,"Pareena Coban Residences Sector 99A, Gurgaon",8.0,north-east,relatively new property,,0,1,0,0,0,1,91
"  vishnu garden, gurgaon",0.95,sector 105,,house,,,,,3.0,3.0,"  vishnu garden, gurgaon",2.0,north,relatively new property,2,0,0,0,0,0,2,15
  emaar palm gardens,2.55,sector 83,13076.92,flat,1950.0,1950.0,1267.5,1560.0,3.0,3.0,"Emaar Palm Gardens Sector 83, Gurgaon",10.0,north-east,relatively new property,,0,1,0,0,0,2,221
  godrej habitat,2.35,sector 3,8392.86,flat,2800.0,2800.0,1959.9999999999998,2380.0,4.0,4.0,"Godrej Habitat Sector 3, Gurgaon",10.0,east,new property,,0,1,0,0,0,2,78
"  sector 57, gurgaon",3.9,sector 57,,house,,,,,8.0,8.0,"  sector 57, gurgaon",4.0,west,moderatly old property,3+,0,0,0,0,0,0,181
  pioneer park,2.85,sector 61,16764.71,flat,1700.0,1700.0,1105.0,1360.0,3.0,3.0,"Pioneer Park Sector 61, Gurgaon",8.0,south-east,moderatly old property,,0,0,0,0,0,1,138
"  ansals palam vihar, palam vihar, gurgaon",3.75,sector 1,,house,,,,,3.0,2.0,"  ansals palam vihar, palam vihar, gurgaon",1.0,north,moderatly old property,2,0,0,0,0,0,2,36
  ats triumph,2.55,sector 104,11135.37,flat,2290.0,2290.0,1488.5,1832.0,3.0,4.0,"ATS Triumph Sector 104, Gurgaon",14.0,north-east,relatively new property,,0,1,0,0,0,2,103
"  sector 9, gurgaon",2.65,sector 9,,house,,,,,4.0,4.0,"  sector 9, gurgaon",4.0,south-east,relatively new property,3+,0,0,0,0,1,2,159
"  rosewood city, gurgaon",4.5,sector 49,,house,,,,,3.0,3.0,"  rosewood city, gurgaon",2.0,north-east,moderatly old property,3,1,1,0,0,0,0,63
  m3m woodshire,1.85,sector 107,9521.36,flat,1943.0,1943.0,1262.95,1554.4,3.0,3.0,"M3M Woodshire Sector 107, Gurgaon",4.0,north-east,relatively new property,,0,0,0,0,0,2,77
  parsvnath exotica,9.0,sector 53,26548.67,flat,3390.0,3390.0,2373.0,2881.5,4.0,5.0,"Parsvnath Exotica Sector 53, Gurgaon",5.0,east,moderatly old property,,1,1,0,0,0,1,178
  godrej summit,2.05,sector 104,8821.0,flat,2324.0,2324.0,1626.8,1975.3999999999999,4.0,5.0,"Godrej Summit Sector 104, Gurgaon",7.0,north-east,relatively new property,,0,1,0,0,0,1,200
  conscient elevate,6.25,sector 59,24084.78,flat,2595.0,2595.0,1686.75,2076.0,3.0,4.0,"Conscient Elevate Sector 59, Gurgaon",5.0,south-west,relatively new property,,1,1,1,1,0,0,39
  ats tourmale,2.05,sector 109,11714.29,flat,1750.0,1750.0,1137.5,1400.0,3.0,3.0,"ATS Tourmaline Sector 109, Gurgaon",12.0,east,relatively new property,,0,0,0,0,0,1,87
"  sector 46, gurgaon",3.6,sector 46,4444.44,house,8100.0,10530.0,6885.0,8100.0,6.0,6.0,"  sector 46, gurgaon",3.0,north-east,moderatly old property,2,1,0,0,0,0,1,130
  shapoorji pallonji joyville gurugram,1.91,sector 102,13961.99,flat,1368.0,1368.0,820.8,1026.0,2.0,2.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",15.0,north-east,new property,,0,0,0,0,0,1,221
"  sector 80, gurgaon",2.69,sector 80,13759.59,house,1955.0,2443.75,1564.0,1955.0,3.0,2.0,"  sector 80, gurgaon",34.0,east,under construction,3+,0,0,0,0,0,2,71
  indiabulls centrum park,1.8,sector 103,10055.87,flat,1790.0,1790.0,1163.5,1432.0,3.0,3.0,"Indiabulls Centrum Park Sector 103, Gurgaon",5.0,west,relatively new property,,0,0,1,0,0,1,189
  signature the roselia,0.61,sector 95,,flat,,,,,2.0,2.0,"Signature The Roselia Sector 95A, Gurgaon",7.0,north-east,relatively new property,,0,0,0,0,0,2,86
